,id,lat,long,num_road,id_node,class_i
201,HI9101c,116.282,40.0082,2,61009,1
202,HI7060b,116.42768999999998,39.94485,3,2001,5
203,HI7000c,116.42764,39.9433,3,2002,5
204,HI7001c,116.42782,39.93705,3,2003,5
205,HI7002c,116.42832,39.92993,3,2005,5
206,HI7039c,116.42785,39.92513,3,2006,5
207,HI7003c,116.42875,39.92075,3,2007,5
208,HI7004c,116.42928,39.912,3,2009,5
209,HI7005c,116.42962,39.90918,3,2010,5
210,HI7041c,116.43007,39.90175,3,2012,5
211,HI7008c,116.43835,39.89055,4,2016,5
212,HI7009c,116.4387,39.8854,3,2017,5
213,HI7010c,116.43955,39.88148,4,2018,5
214,HI7011c,116.43945,39.87582,3,2019,5
215,HI7012c,116.43828,39.87125,2,2020,2
216,HI7013c,116.43597,39.86927,4,2021,5
217,HI7014d,116.43022,39.86944,3,2022,2
218,HI7015d,116.42113,39.86993,3,2023,2
219,HI7043d,116.41767,39.87013,3,2024,2
220,HI7016d,116.41218,39.86992,3,2025,2
221,HI7017d,116.40307,39.8707,3,2026,2
222,HI7059d,116.39986,39.87061,3,2027,2
223,HI5093d,116.38643,39.87006,4,2030,2
224,HI7019d,116.37753,39.86958,4,2031,2
225,HI5062d,116.35768,39.86753,4,2033,2
226,HI7046d,116.35141000000002,39.86705,3,2034,2
227,HI7022a,116.34364,39.86783,3,2035,2
228,HI7023a,116.34275,39.8723,3,2036,2
229,HI7065a,116.34325,39.87617,3,2037,2
230,HI5056a,116.34269,39.883,3,2038,2
231,HI7025a,116.34258,39.89158,5,2040,2
232,HI7026a,116.34268,39.89468,3,2041,2
233,HI2068a,116.34997,39.89798,3,2043,2
234,HI7048b,116.35073,39.90278,3,2044,4
235,HI2075a,116.3503,39.9044,3,2045,4
236,HI7049a,116.3504,39.9078,3,2046,4
237,HI7029a,116.35037,39.91002,3,2047,4
238,HI7051a,116.35023,39.91367,3,2048,4
239,HI7030a,116.35017,39.92385,4,2050,4
240,HI7053a,116.34957,39.92857,3,2052,4
241,HI2105a,116.34932,39.93655,3,2054,4
242,HI7032b,116.35598,39.94435,0,2056,4
243,HI7033b,116.36025,39.94573,3,2057,5
244,HI3002b,116.36985,39.94772,3,2058,5
245,HI7035b,116.37833,39.94747,3,2060,5
