date,avg,revenue,change 1,change 2
2019/12/30,43,-522,0.001338394,0
2019/12/31,43,-417,0,0
2020/1/2,42,-317,0,0
2020/1/3,41,-197,0,-0.009070357
2020/1/6,41,-240,-0.001336472,0
2020/1/7,41,-242,0,0
2020/1/8,41,-201,0,0
2020/1/9,44,-242,0,0
2020/1/10,44,-250,0,0.085111319
2020/1/13,45,-259,4.90E-05,0
2020/1/14,45,-370,0,0
2020/1/15,46,-332,0,0
2020/1/16,47,-441,0,0
2020/1/17,47,-385,0,0.125655269
2020/1/20,47,-272,3.94E-05,0
2020/1/21,47,-290,0,0
2020/1/22,47,-219,0,0
2020/2/3,47,-227,-0.003656949,0.278414166
2020/2/4,47,-118,0,0
2020/2/5,47,-168,0,0
2020/2/6,47,-209,0,0
2020/2/7,45,-266,0,0.032970019
2020/2/10,45,-229,0.002493993,0
2020/2/11,45,-283,0,0
2020/2/12,45,-366,0,0
2020/2/13,48,-382,0,0
2020/2/14,48,-293,0,0.008075414
2020/2/17,52.5,-399,0.001642558,0
2020/2/18,52.5,-314,0,0
2020/2/19,52.5,-311,0,0
2020/2/20,50.5,-283,0,0
2020/2/21,50.5,-272,0,0.013315776
2020/2/24,50.5,-279,-0.000284465,0
2020/2/25,52.5,-265,0,0
2020/2/26,54.5,-262,0,0
2020/2/27,54.5,-252,0,0
2020/2/28,54.5,-297,0,0.005277057
2020/3/2,54.5,-308,-0.000203789,0
2020/3/3,56.5,-461,0,0
2020/3/4,56.5,-350,0,0
2020/3/5,56.5,-393,0,0
2020/3/6,56.5,-272,0,-0.049909211
2020/3/9,61.5,-252,0.000406575,0
2020/3/10,60.5,-289,0,0
2020/3/11,60.5,-363,0,0
2020/3/12,60.5,-218,0,0
2020/3/13,59.5,-298,0,-0.042379223
2020/3/16,59.5,-326,-0.000581558,0
2020/3/17,59.5,-306,0,0
2020/3/18,59,-218,0,0
2020/3/19,59,-167,0,0
2020/3/23,59,-238,0.000534469,-0.032260862
2020/3/24,59,-382,0,0
2020/3/25,59,-366,0,0
2020/3/26,60,-359,0,0
2020/3/27,60,-171,0,-0.03333642
2020/3/30,61,-78,-0.000395057,0
2020/3/31,62,-5,0,0
2020/4/1,63,-48,0,0
2020/4/2,65.5,58,0,0
2020/4/3,67,56,0,-0.055437789
2020/4/7,74,83,1.06E-05,0
2020/4/8,74,104,0,0
2020/4/9,76,28,0,0
2020/4/14,78.5,22,-0.000321155,-0.036488293
2020/4/15,78,-11,0,0
2020/4/16,78,138,0,0
2020/4/17,80,-61,0,-0.030877239
2020/4/20,80,122,0.000454779,0
2020/4/21,81.5,85,0,0
2020/4/22,81.5,200,0,0
2020/4/23,83,237,0,0
2020/4/24,85,239,0,-0.053680149
2020/4/27,85,228,-0.000773152,0
2020/4/28,85,183,0,0
2020/4/29,85,206,0,0
2020/4/30,85,213,0,-0.108633841
2020/5/6,89.5,422,-0.000131803,0
2020/5/7,94,386,0,0
2020/5/11,97.5,536,0.000641535,-0.072218208
2020/5/12,97.5,447,0,0
2020/5/13,101.5,466,0,0
2020/5/14,102.5,466,0,0
2020/5/15,102.5,392,0,-0.121645109
2020/5/18,102.5,379,6.06E-05,0
2020/5/19,102.5,249,0,0
2020/5/20,102.5,235,0,0
2020/5/21,97.5,2,0,0
2020/5/22,93.5,19,0,-0.056280836
2020/5/26,90.5,166,-0.000867609,0
2020/5/27,87.5,157,0,0
2020/5/28,84.5,201,0,0
2020/5/29,83,144,0,-0.043017385
2020/6/1,82.5,83,-0.000483186,0
2020/6/2,82.5,134,0,0
2020/6/3,80.5,9,0,0
2020/6/4,80,-118,0,0
2020/6/5,76.5,-46,0,-0.005509656
2020/6/8,73,-146,-0.000607683,0
2020/6/9,71.5,-161,0,0
2020/6/10,68.5,-103,0,0
2020/6/11,68.5,-136,0,0
2020/6/12,67,-12,0,0.094807793
2020/6/15,68,158,-0.000244718,0
2020/6/16,72,83,0,0
2020/6/17,80,359,0,0
2020/6/18,87.5,308,0,0
2020/6/19,88.5,183,0,0.06328145
2020/6/22,94,267,0.000681979,0
2020/6/23,94,147,0,0
2020/6/24,92.5,40,0,-0.023867481
2020/6/29,91,30,0.000208932,0
2020/6/30,87.5,86,0,0
2020/7/1,86,-95,0,0
2020/7/2,84,-87,0,0
2020/7/3,84,-37,0,-0.039413969
2020/7/6,81.5,-153,0.000461036,0
