,id2,lat,long,id,num_road,class
127,4025,116.2957,39.8295,HI9067d,4,2
128,4026,116.28667,39.82965,HI9068d,4,2
129,4027,116.27887,39.84217,HI9069a,4,2
130,4028,116.27563,39.86817,HI9070a,4,2
131,4029,116.27175,39.87545,HI9023a,4,2
132,4030,116.2687,39.88397,HI9024a,4,2
133,4031,116.2682,39.889,HI9025a,4,2
134,4032,116.26817,39.89558,HI9026a,4,2
135,4033,116.26817,39.90062,HI9028a,4,2
136,4034,116.26818,39.9088,HI9030c,4,2
137,4035,116.26842,39.91235,HI9030a,4,3
138,4036,116.26937,39.92667,HI9032c,4,3
139,4037,116.26922,39.92965,HI9032a,4,3
140,4038,116.26848,39.93547,HI9071a,4,3
141,4039,116.26843,39.94073,HI9033a,4,3
142,4040,116.26988,39.95235,HI9034a,4,3
143,4041,116.27,39.9584,HI9072a,4,3
144,4042,116.284,39.9783,HI9035a,4,3
145,4043,116.28902,39.98222,HI9036a,5,3
146,4045,116.32173,39.98445,HI9038d,4,3
147,4046,116.33395,39.98537,HI9039d,4,3
148,4047,116.34073,39.98505,HI9040d,5,3
149,4048,116.36,39.986,HI9041d,4,3
150,4049,116.3823,39.98635,HI9042d,3,3
151,4050,116.38907,39.98658,HI9043d,4,3
152,4051,116.3954,39.98677,HI9044d,4,2
153,4052,116.40772,39.98715,HI9045d,4,2
154,4053,116.41442,39.98737,HI9046d,4,2
155,4054,116.42428,39.98757,HI9047d,4,2
156,4056,116.44,39.9846,HI9074d,4,2
157,4059,116.46152,39.97097,HI9049a,4,2
158,4060,116.4735,39.96308,HI9050a,4,2
159,4061,116.47642,39.96112,HI9051a,4,2
160,4062,116.48323,39.95,HI9052a,4,2
161,4063,116.48357,39.94838,HI9053a,4,2
162,4064,116.48355,39.93435,HI9054a,4,2
163,4065,116.48355,39.92888,HI9055a,4,2
164,4066,116.48342,39.9169,HI9056a,4,2
165,11001,116.34207,39.86212,HI9057a,3,1
166,11002,116.34147,39.85725,HI9077a,3,1
167,11003,116.341,39.8531,HI9078a,3,1
168,11004,116.34042,39.84882,HI8020a,3,1
169,11005,116.33985,39.84058,HI9079a,4,2
170,11006,116.33955,39.83557,HI9020a,4,2
171,21001,116.34165,39.89682,HI9080b,3,1
172,21002,116.32888,39.8961,HI9059b,4,1
173,21003,116.3175,39.89578,HI9060b,3,1
174,21004,116.31118,39.89585,HI8062b,3,1
175,31001,116.34998,39.94593,HI9061c,3,3
176,31002,116.34887,39.95367,HI9062c,3,3
177,31003,116.34803,39.96037,HI9063c,4,3
178,31005,116.348,39.9664,HI8039c,3,3
179,31007,116.34755,39.97122,HI9064c,4,3
180,31009,116.34752,39.97768,HI9065c,3,3
181,31010,116.34738,39.98195,HI9040c,3,3
182,41001,116.343,39.9387,HI7032d,3,3
183,41002,116.334,39.9373,HI9090b,3,3
184,41003,116.328,39.9371,HI9091b,3,3
185,41004,116.313,39.9383,HI8030b,4,3
186,41005,116.309,39.9393,HI9092b,3,3
187,41006,116.299,39.9428,HI9093b,4,3
188,41007,116.294,39.9447,HI9094b,4,3
189,41008,116.284,39.9463,HI9034b,4,3
190,51001,116.373,39.9517,HI9081c,3,3
191,51002,116.373,39.9569,HI9082c,3,3
192,51003,116.374,39.9604,HI9083c,3,3
193,51004,116.374,39.9647,HI9068c,3,3
194,51006,116.375,39.9725,HI9084c,3,3
195,51007,116.375,39.9756,HI9085c,4,3
196,51008,116.374,39.9787,HI9086c,3,3
197,51009,116.373,39.9811,HI9087c,3,3
198,51010,116.373,39.984,HI9041c,3,3
199,61001,116.301,39.9667,HI9095c,3,3
200,61002,116.298,39.9704,HI9096c,4,3
201,61003,116.295,39.9767,HI9102c,3,3
202,61004,116.294,39.9799,HI9037g,3,3
203,61005,116.293,39.9899,HI9097c,3,3
204,61006,116.29,39.9935,HI9098c,3,3
205,61007,116.286,39.9987,HI9099c,3,3
206,61009,116.282,40.0082,HI9101c,2,3
