0,1,2,3
4635,4651,118.753571,30.93915794
4635,4664,118.7589011,30.93957902
4651,4635,118.753571,30.93915794
4651,4662,118.7504141,30.94033636
4651,4697,118.7512268,30.94143837
4662,4651,118.7504141,30.94033636
4662,4689,118.7472925,30.94173737
4662,4694,118.7488871,30.94176709
4664,4635,118.7589011,30.93957902
4664,4724,118.7622842,30.94218051
4689,4662,118.7472925,30.94173737
4689,4694,118.7466652,30.94278116
4689,4819,118.7413956,30.94480869
4694,4662,118.7488871,30.94176709
4694,4689,118.7466652,30.94278116
4694,4697,118.7496998,30.9428691
4694,4808,118.7478261,30.94460961
4697,4651,118.7512268,30.94143837
4697,4694,118.7496998,30.9428691
4697,4706,118.7532815,30.94304749
4697,4806,118.7511014,30.94463862
4706,4697,118.7532815,30.94304749
4706,4724,118.7590089,30.94336856
4706,4835,118.7553959,30.94542977
4724,4664,118.7622842,30.94218051
4724,4706,118.7590089,30.94336856
4724,4863,118.7629675,30.94616577
4806,4697,118.7511014,30.94463862
4806,4808,118.7492277,30.94637913
4806,4835,118.7532158,30.94702089
4806,4927,118.750962,30.94888244
4808,4694,118.7478261,30.94460961
4808,4806,118.7492277,30.94637913
4808,4893,118.7466808,30.948092
4808,8354,118.7445666,30.94657959
4819,4689,118.7413956,30.94480869
4819,4879,118.7378483,30.94809569
4835,4706,118.7553959,30.94542977
4835,4806,118.7532158,30.94702089
4835,4854,118.7574387,30.94804141
4835,4944,118.7548303,30.94986673
4854,4835,118.7574387,30.94804141
4854,4863,118.7614247,30.94857652
4854,4961,118.7587591,30.9504341
4863,4724,118.7629675,30.94616577
4863,4854,118.7614247,30.94857652
4863,4904,118.7634248,30.94937754
4879,4819,118.7378483,30.94809569
4879,4893,118.7419726,30.94955054
4879,4938,118.7381178,30.95058882
4893,4808,118.7466808,30.948092
4893,4879,118.7419726,30.94955054
4893,4907,118.7457799,30.9501836
4893,4927,118.748415,30.95059531
4904,4863,118.7634248,30.94937754
4904,4973,118.7636672,30.95138937
4907,4893,118.7457799,30.9501836
4907,4950,118.7452209,30.95138776
4907,5010,118.7472098,30.95255914
4927,4806,118.750962,30.94888244
4927,4893,118.748415,30.95059531
4927,4944,118.7525765,30.95172828
4927,5010,118.7498449,30.95297084
4938,4879,118.7381178,30.95058882
4938,4950,118.7415554,30.95201809
4938,5012,118.7384526,30.95325614
4944,4835,118.7548303,30.94986673
4944,4927,118.7525765,30.95172828
4944,4961,118.7561507,30.95225942
4944,5029,118.753414,30.95386232
4950,4907,118.7452209,30.95138776
4950,4938,118.7415554,30.95201809
4950,5021,118.7442121,30.95364682
4961,4854,118.7587591,30.9504341
4961,4944,118.7561507,30.95225942
4961,4973,118.7609173,30.95263151
4961,5061,118.7552806,30.9549487
4973,4904,118.7636672,30.95138937
4973,4961,118.7609173,30.95263151
4973,9164,118.7619502,30.95413479
5010,4907,118.7472098,30.95255914
5010,4927,118.7498449,30.95297084
5010,9163,118.7486182,30.95513795
5012,4938,118.7384526,30.95325614
5012,5021,118.7411092,30.95488487
5021,4950,118.7442121,30.95364682
5021,5012,118.7411092,30.95488487
5021,9163,118.74599,30.95542944
5029,4944,118.753414,30.95386232
5029,5061,118.7525438,30.9565516
5061,4961,118.7552806,30.9549487
5061,5029,118.7525438,30.9565516
8354,4808,118.7445666,30.94657959
9163,5010,118.7486182,30.95513795
9163,5021,118.74599,30.95542944
9163,9177,118.7528582,30.95698862
9164,4973,118.7619502,30.95413479
9164,9177,118.758692,30.95685593
9177,9163,118.7528582,30.95698862
9177,9164,118.758692,30.95685593
