,id,lat,long,num_road,id_node,class_i
0,HI7000d,116.42768999999998,39.94485,4,2001,6
1,HI7001a,116.42764,39.9433,3,2002,6
2,HI7002a,116.42782,39.93705,2,2003,6
3,HI7039a,116.42832,39.92993,3,2005,6
4,HI7003a,116.42785,39.92513,3,2006,6
5,HI7040a,116.42875,39.92075,3,2007,6
6,HI7005a,116.42928,39.912,3,2009,6
7,HI7006a,116.42962,39.90918,3,2010,6
8,HI7007a,116.43007,39.90175,3,2012,6
9,HI7009a,116.43835,39.89055,3,2016,6
10,HI7010a,116.4387,39.8854,3,2017,6
11,HI7011a,116.43955,39.88148,3,2018,6
12,HI7012a,116.43945,39.87582,3,2019,6
13,HI7013a,116.43828,39.87125,3,2020,6
14,HI7014b,116.43597,39.86927,3,2021,3
15,HI7015b,116.43022,39.86944,3,2022,3
16,HI7043b,116.42113,39.86993,3,2023,3
17,HI7016b,116.41767,39.87013,3,2024,3
18,HI7017b,116.41218,39.86992,2,2025,3
19,HI7059b,116.40307,39.8707,3,2026,3
20,HI5093b,116.39986,39.87061,4,2027,3
21,HI7019b,116.38643,39.87006,3,2030,3
22,HI7020b,116.37753,39.86958,4,2031,3
23,HI7046b,116.35768,39.86753,4,2033,3
24,HI7022b,116.35141000000002,39.86705,6,2034,3
25,HI7065c,116.34275,39.8723,5,2036,3
26,HI5056c,116.34325,39.87617,4,2037,3
27,HI7025c,116.34269,39.883,4,2038,3
28,HI7026c,116.34258,39.89158,4,2040,3
29,HI2068c,116.34268,39.89468,3,2041,3
30,HI7048d,116.34997,39.89798,3,2043,3
31,HI2075c,116.35073,39.90278,4,2044,3
32,HI7049c,116.3503,39.9044,3,2045,3
33,HI7029c,116.3504,39.9078,3,2046,3
34,HI7050c,116.35037,39.91002,3,2047,3
35,HI7052c,116.35023,39.91367,3,2048,5
36,HI7064c,116.35017,39.92385,4,2050,5
37,HI2105c,116.34957,39.92857,3,2052,5
38,HI7032c,116.34932,39.93655,3,2054,5
39,HI7054d,116.35598,39.94435,3,2056,5
40,HI3002d,116.36025,39.94573,3,2057,6
41,HI7035d,116.36985,39.94772,3,2058,6
42,HI7056d,116.37833,39.94747,3,2060,6
43,HI7057d,116.38915,39.94757,3,2061,6
44,HI7058d,116.40402,39.9475,3,2063,6
45,HI3008d,116.40997,39.94768,3,2064,6
46,HI3009d,116.4194,39.94832,3,2066,6
47,HI7060d,116.42345,39.94815,3,2067,6
48,HI8051a,116.45598,39.94497,3,3001,7
49,HI8053a,116.45518,39.93153,3,3003,7
50,HI8074a,116.45551,39.9279,3,3004,7
51,HI8054a,116.45513,39.92397,3,3005,7
52,HI4034a,116.45497,39.91835,3,3006,7
53,HI4038a,116.4551,39.89833,3,3008,7
54,HI8005a,116.4549,39.89075,3,3009,7
55,HI4036a,116.45519,39.88778,4,3010,7
56,HI8007a,116.45467,39.88227,3,3011,0
57,HI8008a,116.455,39.87857,3,3012,0
58,HI8056a,116.45523,39.87312,4,3013,0
59,HI8009a,116.4545,39.86918,3,3014,0
60,HI8010a,116.45257,39.86438,3,3015,0
61,HI8057a,116.43768,39.85753,3,3017,0
62,HI8011a,116.43218,39.85735,3,3018,0
63,HI8058b,116.42114,39.85669,3,3020,0
64,HI8014b,116.41064,39.85568,3,3021,0
65,HI8015b,116.40628,39.85582,3,3022,0
66,HI8016b,116.40205,39.85564,3,3023,0
67,HI8017b,116.39777,39.85593,3,3024,0
68,HI8059b,116.38563,39.85568,3,3025,0
69,HI8018b,116.38223,39.85545,3,3026,0
70,HI8019b,116.35651,39.85299000000001,3,3028,0
71,HI8020b,116.34735,39.85049,3,3029,0
72,HI8021b,116.33546,39.84769,4,3030,0
73,HI8022b,116.32519,39.84817,3,3032,0
74,HI8072c,116.307,39.8617,3,3034,0
75,HI8073c,116.30603,39.86582,3,3035,0
76,HI8023c,116.30591,39.87053,3,3036,0
77,HI8025c,116.30506,39.87836,3,3037,5
78,HI8026c,116.30427,39.88782,3,3038,5
79,HI8062c,116.3043,39.89235,4,3039,5
80,HI8027c,116.30423,39.90154,3,3040,5
