,id,lat,long,num_road,id_node,class_i
133,HI9028a,116.26817,39.90062,4,4033,6
134,HI9030a,116.26842,39.91235,4,4035,6
135,HI9032a,116.26922,39.92965,4,4037,6
136,HI9071a,116.26848,39.93547,4,4038,6
137,HI9033a,116.26843,39.94073,4,4039,6
138,HI9034a,116.26988,39.95235,4,4040,6
139,HI9072a,116.27,39.9584,4,4041,6
140,HI9035a,116.284,39.9783,4,4042,6
141,HI9036a,116.28902,39.98222,5,4043,1
142,HI9038d,116.32173,39.98445,4,4045,3
143,HI9039d,116.33395,39.98537,4,4046,3
144,HI9040d,116.34073,39.98505,5,4047,3
145,HI9041d,116.36,39.986,4,4048,3
146,HI9042d,116.3823,39.98635,3,4049,3
147,HI9043d,116.38907,39.98658,4,4050,3
148,HI9044d,116.3954,39.98677,4,4051,4
149,HI9045d,116.40772,39.98715,4,4052,4
150,HI9046d,116.41442,39.98737,4,4053,4
151,HI9047d,116.42428,39.98757,4,4054,4
152,HI9074d,116.44,39.9846,4,4056,4
153,HI9049a,116.46152,39.97097,4,4059,4
154,HI9050a,116.4735,39.96308,4,4060,4
155,HI9051a,116.47642,39.96112,4,4061,4
156,HI9052a,116.48323,39.95,4,4062,4
157,HI9053a,116.48357,39.94838,4,4063,4
158,HI9054a,116.48355,39.93435,4,4064,4
159,HI9055a,116.48355,39.92888,4,4065,4
160,HI9056a,116.48342,39.9169,4,4066,6
161,HI9057a,116.34207,39.86212,3,11001,2
162,HI9077a,116.34147,39.85725,3,11002,5
163,HI9078a,116.341,39.8531,3,11003,5
164,HI8020a,116.34042,39.84882,3,11004,6
165,HI9079a,116.33985,39.84058,4,11005,6
166,HI9020a,116.33955,39.83557,4,11006,6
167,HI9080b,116.34165,39.89682,3,21001,2
168,HI9059b,116.32888,39.8961,4,21002,2
169,HI9060b,116.3175,39.89578,3,21003,2
170,HI8062b,116.31118,39.89585,3,21004,2
171,HI9061c,116.34998,39.94593,3,31001,2
172,HI9062c,116.34887,39.95367,3,31002,3
173,HI9063c,116.34803,39.96037000000001,4,31003,3
174,HI8039c,116.348,39.9664,3,31005,3
175,HI9064c,116.34755,39.97122,4,31007,3
176,HI9065c,116.34752,39.97768,3,31009,3
177,HI9040c,116.34738,39.98195,3,31010,3
178,HI9090b,116.334,39.9373,3,41002,2
179,HI9091b,116.328,39.9371,3,41003,2
180,HI8030b,116.313,39.9383,4,41004,1
181,HI9092b,116.309,39.9393,3,41005,1
182,HI9093b,116.299,39.9428,4,41006,1
183,HI9094b,116.294,39.9447,4,41007,1
