,0,det,node,class
0,13.016764387019332,HI2063a,3044,3
1,19.076875295267552,HI2063c,3043,3
2,4.800302081486014,HI2065a,3046,3
3,13.778997956945474,HI2065c,3044,3
4,5.5715318747159035,HI2068a,2043,1
5,21.091435014398346,HI2068c,2041,1
6,0.7994757342294329,HI2068d,21001,1
7,16.08320092145846,HI2072b,3054,3
8,7.7100449964051245,HI2072d,3053,3
9,9.070899437240799,HI2075a,2045,1
10,13.042794572206775,HI2075c,2044,1
11,18.8480030499042,HI2081b,3053,3
12,2.4301206698792486,HI2081d,3052,3
13,7.612814733241016,HI2090a,3049,3
14,20.21353991543293,HI2092a,61001,3
15,7.60673930178338,HI2092b,3051,3
16,3.5315127012978786,HI2092c,3049,3
17,23.69825149805701,HI2105a,2054,3
18,17.17563751549203,HI2105c,2052,3
19,6.22803084238372,HI3002b,2058,0
20,1.4955591792810252,HI3002d,2057,0
21,22.424894049688653,HI3008b,2066,0
22,16.140659377132692,HI3008d,2064,0
23,26.05019983594974,HI3009b,2067,0
24,5.89347921213203,HI3009d,2066,0
25,3.5513578274938284,HI3052b,3062,4
26,11.842285371264197,HI3052d,3060,4
27,7.881527190091106,HI4005a,3074,4
28,7.364887092273254,HI4005c,3001,4
29,13.829664164618107,HI4013c,3003,4
30,1.9570849788442481,HI4034a,3006,4
31,13.110157016185504,HI4034c,3008,4
32,6.63131097152884,HI4036a,3010,4
33,33.330540884971725,HI4038a,3008,4
34,13.143562960697428,HI4038c,3009,4
35,13.895729289246217,HI5056a,2038,1
36,16.04457974609977,HI5056c,2037,1
37,15.176408855865155,HI5062d,2033,1
38,5.173515380768117,HI5093b,2027,1
39,9.0,HI5093d,2030,1
40,23.30603819058211,HI7000c,2002,0
41,23.325154682870064,HI7000d,2001,0
42,23.89213467638938,HI7001a,2002,0
43,13.850822677563622,HI7001c,2003,0
44,27.55523130144706,HI7002a,2003,0
45,14.01914719569817,HI7002c,2005,0
46,22.403620123182108,HI7003a,2006,0
47,22.133331729238165,HI7003c,2007,0
