,0
HI9095c,3.0
HI9096c,3.0
HI9102c,3.0
HI9037g,3.0
HI9097c,3.0
HI9098c,3.0
HI9099c,3.0
HI9100c,3.0
HI9101c,3.0
HI7030a,3.0
HI7053a,3.0
HI2105a,3.0
HI7032b,3.0
HI7033b,3.0
HI3002b,3.0
HI7035b,3.0
HI7057b,3.0
HI4005c,3.0
HI4013c,3.0
HI8053c,3.0
HI8074c,3.0
HI8055c,3.0
HI4034c,3.0
HI4038c,3.0
HI8005c,3.0
HI4036c,3.0
HI8007c,3.0
HI8008c,3.0
HI8056c,3.0
HI8009c,3.0
HI2065a,3.0
HI2090a,3.0
HI2092b,3.0
HI8034b,3.0
HI2081b,3.0
HI2072b,3.0
HI8037b,3.0
HI8066b,3.0
HI8039b,3.0
HI8040b,3.0
HI3052b,3.0
HI8070b,3.0
HI8042b,3.0
HI8043b,3.0
HI8044b,3.0
HI8046b,3.0
HI8047b,3.0
HI8071b,3.0
HI8050c,3.0
HI9031c,3.0
HI9032c,3.0
HI9071c,3.0
HI9033c,3.0
HI9034c,3.0
HI9072c,3.0
HI9035c,3.0
HI9036c,3.0
HI9037c,3.0
HI9073b,3.0
HI9038b,3.0
HI9039b,3.0
HI9040b,3.0
HI9041b,3.0
HI9042b,3.0
HI7032a,3.0
HI9061a,3.0
HI9062a,3.0
HI9063a,3.0
HI8039a,3.0
HI9064a,3.0
HI9065a,3.0
HI7032d,3.0
HI9088d,3.0
HI9090d,3.0
HI9091d,3.0
HI8030d,3.0
HI9092d,3.0
HI9093d,3.0
HI9094d,3.0
HI7035a,3.0
HI9081a,3.0
HI9082a,3.0
HI9083a,3.0
HI8068a,3.0
HI9084a,3.0
HI9085a,3.0
HI9086a,3.0
HI9087a,3.0
HI2092a,3.0
HI9095a,3.0
HI9096a,3.0
HI9102a,3.0
HI9037a,3.0
HI9097a,3.0
HI9098a,3.0
HI9099a,3.0
HI9100a,3.0
