,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
10,8603,8632,7729,7196,6950,5906,5312,4944,3594,1825,1,1252,1559,2178,2732,3220,3391,3555,6564,6255,5478,6348,7033,8778,9886,10442,11008,9483,9911,9393,10125,11194,9253,10367,10122,10184,10668,11707,12381,13079,15041,13878,12806,11320,10800,11186,9685,9173,9257,9940,8333,8184,8151,6825,3695,3152,2780,2665,3415,4243,4045,3799,3796,4097,4795,6007,6328,7073,6893,7611,9448,10131,10960,12503,13193,14641,14671,13864,12929,13195,13768,13666,14502,14817,16309,15731,17101,17541,19519,19083,18470,18815,16896,16129,15105,14756,13169,13307,13712,12205,12033,11176,11151,10685,9936,6707,5931,6477,6286,7527,7447,8532,7798,7815,8012,8656,9757,9083,11439,11190,12984,12546,13130,18501,14904,16670,16417,18484,18385,19858,16246,16667,16016,17487,17473,16244,16989,17433,19503,18504,21736,21038,21378,21508,22315,22387,19654,18929,18119,16729,15770,15198,14592,13672,14137,13162,15014,12777,12524,12041,12727,12241,10313,9512,8428,10257,10761,12124,14532,12863,13580,9889,10983,12771,15066,14035,14841,14968,16838,16175,18638,18339,13861,14741,15456,17101,17376,18178,18680,19115,12437,12954,12802,13547,14499,15514,15332,15476,15496,19893,20803,22884,22270,23026,24210,25796,25777
11,8858,8714,7743,7484,7238,6191,5000,4683,3310,1541,626,1,1198,1817,2371,2859,3027,3191,6083,5774,5134,6004,6689,8434,9542,10098,10664,10061,10489,9689,10421,11490,9549,10663,10418,10480,10964,12003,12677,13375,15337,14095,13102,11616,11096,11403,9902,9390,9497,9330,8021,7872,7839,6513,3411,2542,2170,2055,2805,3633,3523,3438,3435,3736,4431,5663,5984,6592,6412,7130,8967,9767,10596,12139,12829,14297,14327,13982,13225,13491,14064,13962,14798,15113,16605,16027,17397,17837,19815,19379,18766,19111,17192,16425,15401,15052,13465,13524,13929,12422,12250,11393,11375,10373,9624,6097,5321,5867,5925,7166,7086,8171,7437,7454,7648,8155,9393,8719,11075,10826,12640,12202,12786,18137,14540,16306,16053,18120,18021,19494,15902,16963,16312,17783,17769,16540,17285,17729,19799,18800,22032,21334,21674,21804,22611,22683,19950,19225,18415,17025,16066,15415,14809,13889,14354,13386,15250,12465,11914,11431,12117,11631,9703,9049,7965,9913,10417,11760,14168,12499,13216,10185,11279,13067,15362,14331,15137,15264,17134,16471,18934,18635,14157,15037,15752,17397,17672,18474,18976,19411,12733,13250,13098,13843,14795,15810,15628,15772,15792,20189,21099,23180,22566,23322,24506,26092,26073
12,9565,10085,9114,8158,7912,6868,6371,6054,5207,3113,2198,1573,1,615,1169,1657,2815,3039,5529,5220,4783,5766,6338,8083,9191,9747,10313,9710,10138,10354,11086,12155,10214,11328,11083,11145,11629,12668,13342,14040,16002,14760,13767,12281,11761,12068,10567,10055,10139,10609,9392,9243,9210,7884,4711,3821,3449,3133,2920,2633,2482,2236,2233,2534,3568,4873,5194,6038,5858,6507,8413,8957,9786,11329,12019,13946,13976,13631,13890,14156,14729,14627,15463,15778,17270,16692,18062,18502,20480,20044,19431,19776,17857,17090,16066,15717,14130,14189,14594,13087,12915,12058,12746,11744,10995,7376,5242,4889,4723,5964,5884,6969,6235,6252,6722,7505,8467,7793,10149,9900,12289,11851,12435,17327,13730,15496,15243,17310,17211,18684,15551,17895,17227,18448,18434,17205,17950,18394,20464,19465,22697,21999,22339,22469,23276,23348,20615,19890,19080,17690,16731,16080,15474,14554,15019,14757,15808,13836,13193,12710,13396,12910,10982,10328,9244,9562,10066,10950,13358,11689,12406,10850,11944,13732,16027,14996,15802,15929,17799,17136,19599,19300,14822,15702,16417,18062,18337,19139,19641,20076,13398,13915,13763,14508,15460,16475,16293,16437,16457,20854,21764,23845,23231,23987,25171,26757,26738
13,11212,11492,10338,9805,9559,8515,7882,7553,8023,6553,5654,5005,4004,1,3659,3025,2200,2590,5373,5064,4426,5151,5946,7705,8813,9249,9815,9332,9760,10868,12061,12836,11070,11665,11764,11826,12310,13336,13936,14757,16598,15329,14484,13617,13097,13420,11919,11407,11491,13512,12208,12059,12026,10700,7551,6724,6352,5623,5410,5123,4972,4726,4723,4108,3604,4953,5274,5882,5702,6420,8257,8940,9769,11312,12002,13306,13478,13133,13843,14299,14872,15602,16144,16459,17951,17373,18743,19580,21580,20972,20190,20873,19052,18124,17410,17026,15466,15541,15946,14439,14267,13410,13993,14560,13811,10286,7732,7379,7213,8454,8374,9459,8725,7855,6821,7465,8566,7892,10248,9999,11897,11459,12043,17310,13713,15479,15226,17293,17194,18667,15053,17397,16729,18170,18918,18180,18631,19075,21145,20146,23775,23077,23417,23547,24354,24426,21810,21085,20426,19036,18067,17432,16826,15906,16371,16004,17248,16652,16096,15613,16794,16308,13885,13307,12223,9227,9702,10933,13341,11672,12389,11825,12919,14434,17002,15713,16519,17238,18833,18482,21100,20801,15539,16383,17098,18743,19407,19820,20719,21154,14687,15204,15099,16840,16796,17821,17629,18100,17793,21954,22864,24923,24309,25065,25754,27340,27321
14,10884,10740,9769,9510,9264,8306,7026,6709,5862,4364,3465,2816,1815,1021,1,832,3221,2579,4725,4416,5457,6172,6773,8726,9451,10270,10836,10230,10658,11766,13082,13431,12091,12686,12359,12421,12905,13944,14618,15316,17278,16052,15043,13557,13037,13360,11859,11347,11523,11351,10047,9898,9865,8539,5390,4563,4191,3462,3249,2962,2811,2565,2229,1850,2845,4305,4626,5234,5054,5772,7609,8234,9063,10606,11296,13646,14060,14154,14864,15320,15893,16623,16739,17054,18546,17968,19338,19778,21756,21320,20707,21052,19133,18366,17342,16993,15406,15481,15886,14379,14207,13350,13401,12399,11650,8125,5571,5218,5052,6293,6213,7298,6231,6219,6138,6782,7883,7209,9565,9316,11894,11456,11931,16604,13007,14773,14520,16587,16488,17961,16074,18418,17750,19191,19939,19201,19226,19670,21740,20741,23973,23275,23615,23745,24552,24624,21891,21166,20356,18966,18007,17372,16766,15846,16311,15412,16463,14491,13935,13452,14633,14147,11724,11146,10062,9822,10576,10227,12635,10966,11683,12846,13940,15455,18023,16272,17078,17205,19075,18412,20875,20576,16098,16978,17693,19338,19613,20415,20917,21352,14674,15191,15039,15784,16736,17751,17569,17713,17733,22130,23040,25121,24507,25263,26447,28033,28014
15,10793,10649,9678,9419,9173,7806,6935,6618,5771,4349,3450,2801,1800,1006,792,1,2889,1930,4076,3767,4808,5718,6124,8165,8802,9829,10395,9581,10009,11117,11501,12782,11300,11895,11710,11772,12256,13295,13969,14667,16629,15403,14394,12908,12388,12711,11210,10698,11432,11260,9956,9807,9774,8448,5299,4472,4100,3378,3165,2947,2796,2550,1887,1371,2272,3656,3977,4585,4405,5123,6960,7608,8437,9980,10670,13020,13434,13713,14423,14669,15242,14785,16090,16405,17897,17319,18689,19129,21107,20671,20058,20403,18484,17717,16693,16344,14757,14832,15237,13730,13558,12701,13310,12308,11559,8027,5487,5203,5037,6278,6198,7283,6153,5740,5489,6133,7234,6560,8916,8667,11245,10807,11282,15978,12381,14147,13894,15961,15862,17335,15633,17977,17309,18750,18592,17363,18577,19021,21091,20092,23324,22626,22966,23096,23903,23975,21242,20517,19707,18317,17358,16723,16117,15197,15662,15321,16372,14400,13844,13361,14542,14056,11633,11055,9971,9173,9669,9601,12009,10340,11057,11265,12666,14245,16185,15623,16429,16556,18426,17763,20226,19927,15449,16329,17044,18689,18964,19766,20268,20703,14025,14542,14390,15135,16087,17102,16920,17064,17084,21481,22391,24472,23858,24614,25798,27384,27365
16,8973,9253,8099,7566,7320,6276,5643,5314,5743,4383,3468,2843,2538,1744,1530,1062,1,391,3422,3113,3433,4286,4988,6733,7841,8397,8963,8360,8788,9451,10183,11252,9311,10425,10180,10242,10726,11765,12439,13137,15099,13873,12864,11378,10858,11181,9680,9168,9252,11142,9656,9507,9474,8148,6110,5283,4911,4189,3976,3685,3534,3288,2678,2162,1658,3002,3323,3931,3751,4469,6306,6994,7823,9366,10056,12406,12820,12281,12987,13253,13826,13724,14560,14875,16367,15789,17159,17599,19577,19141,18528,18873,16954,16187,15163,14814,13227,13302,13707,12200,12028,11171,11754,12196,11498,8838,6298,5941,5775,7016,6936,8021,6944,5909,4875,5519,6620,5946,8302,8053,10591,10153,10668,15364,11767,13533,13280,15347,15248,16721,14201,16545,15877,17318,17531,16302,17047,17491,19561,18562,21794,21096,21436,21566,22373,22445,19712,18987,18177,16787,15828,15193,14587,13667,14132,13765,15009,14310,14655,14172,15353,14867,12444,11866,10782,8212,8716,8987,11395,9726,10443,9947,11041,12829,15124,14093,14899,15026,16896,16233,18696,18397,13919,14799,15514,17159,17434,18236,18738,19173,12495,13012,12860,13605,14557,15572,15390,15534,15554,19951,20861,22942,22328,23084,24268,25854,25835
17,9263,9543,8389,7856,7610,6566,5933,5604,6033,4673,3758,3133,2828,2034,1820,1352,1730,1,3223,2914,3262,4115,4817,6562,7670,8226,8792,8189,8617,9725,10417,11542,9927,10522,10470,10532,11016,12055,12729,13628,15389,14163,13355,11668,11148,11471,9970,9458,9542,11432,9946,9797,9764,8438,6327,5500,5128,4406,4193,3975,3824,3578,3023,2507,2003,2803,3124,3732,3552,4270,6107,6822,7651,9194,9884,12234,12648,12110,12820,13498,14071,13614,14850,15165,16657,16079,17449,17889,19867,19431,18818,19163,17244,16477,15453,15104,13517,13592,13997,12490,12318,11461,12044,12486,11788,9055,6515,6231,6065,7306,7226,8311,7289,6254,5220,5295,6571,5897,8181,7932,10392,9954,10461,15192,11595,13361,13108,15175,15076,16549,14030,16374,15706,17147,17421,16192,17337,17781,19851,18852,22084,21386,21726,21856,22663,22735,20002,19277,18467,17077,16118,15483,14877,13957,14422,14055,15299,14600,14872,14389,15570,15084,12661,12083,10999,8041,8545,8815,11223,9554,10271,10181,11495,13074,15014,14584,15390,15316,17186,16523,18986,18687,14410,15089,15804,17449,17724,18526,19028,19463,12785,13302,13150,13895,14847,15862,15680,15824,15844,20241,21151,23232,22618,23374,24558,26144,26125
18,9989,10269,9115,8582,8336,7292,6659,6330,6759,5399,4484,3859,3570,2725,2511,2043,1450,856,1,2634,2982,3835,4537,6282,7390,7946,8512,7909,8337,9445,10137,11427,9647,10242,10355,10417,10901,11927,12527,13348,15189,13920,13075,11770,11874,12197,10696,10184,10268,12158,10672,10523,10490,9164,7091,6264,5892,5170,4957,4666,4515,4157,3539,3023,2482,2523,2844,3452,3272,3990,5827,6542,7371,8914,9604,11954,12368,11830,12540,13218,13791,13334,14735,15050,16542,15964,17334,18171,20171,19563,18781,19464,17643,16715,16001,15617,13678,14318,14723,13216,13044,12187,12770,13212,12514,9819,7279,6922,6756,8145,8065,9150,7805,6523,5598,5015,6291,5617,7901,7652,10112,9674,10181,14912,11315,13081,12828,14895,14796,16269,13750,16094,15426,16867,17141,15912,17222,17666,19736,18737,22366,21668,22008,22138,22945,23017,20401,19676,19017,17627,16279,16209,15603,14683,15148,14781,16025,15326,15636,15153,16334,15848,13425,12847,11763,7761,8265,8535,10943,9274,9991,9901,11215,12794,14734,14304,15110,15829,17424,17073,19691,19392,14130,14974,15689,17334,17998,18411,19310,19745,13278,13795,13311,15431,15008,16412,15841,16691,16005,20545,21455,23514,22900,23656,24345,25931,25912
19,10373,10653,9499,8966,8720,7676,7043,6714,7143,5783,4868,4243,3954,3351,3136,2668,1843,1577,4033,1,3366,4219,4921,6666,7774,8330,8896,8293,8721,9829,10521,11811,10031,10626,10739,10801,11285,12311,12911,13732,15573,14304,13459,12154,12258,12581,11080,10568,10652,12542,11056,10907,10874,9548,7650,6823,6451,5729,5516,5292,5141,4895,4487,3971,3467,3613,3934,4542,4362,5080,6917,7632,8461,10004,10694,12529,12559,12214,12924,13602,14175,13718,15119,15434,16926,16348,17718,18555,20555,19947,19165,19848,18027,17099,16385,16001,14062,14702,15107,13600,13428,12571,13154,13596,12898,10378,7838,7548,7382,8623,8543,9628,8753,7718,6684,6105,7381,6707,8991,8742,10872,10434,11018,16002,12405,14171,13918,15985,15886,17359,14134,16478,15810,17251,17525,16296,17606,18050,20120,19121,22750,22052,22392,22522,23329,23401,20785,20060,19401,18011,16663,16593,15987,15067,15532,15165,16409,15710,16195,15712,16893,16407,13984,13406,12322,8145,8649,9625,12033,10364,11081,10285,11599,13178,15118,14688,15494,16213,17808,17457,20075,19776,14514,15358,16073,17718,18382,18795,19694,20129,13662,14179,13695,15815,15392,16796,16225,17075,16389,20929,21839,23898,23284,24040,24729,26315,26296
